Comparison,Class,AUC ResNet1D,AUC Baseline,Delta AUC,Z-stat,P-value,Significant
ResNet1D vs Logistic Regression,Macro,0.9038,0.8528,0.0509,3.8154,0.000136,Yes
ResNet1D vs Logistic Regression,NORM,0.934,0.898,0.036,4.3639,1.3e-05,Yes
ResNet1D vs Logistic Regression,MI,0.9142,0.8115,0.1027,8.3085,0.0,Yes
ResNet1D vs Logistic Regression,STTC,0.9182,0.9078,0.0104,1.0731,0.283242,No
ResNet1D vs Logistic Regression,CD,0.9055,0.8419,0.0636,4.503,7e-06,Yes
ResNet1D vs Logistic Regression,HYP,0.8469,0.805,0.0419,2.1614,0.030661,Yes
ResNet1D vs Random Forest,Macro,0.9038,0.8628,0.0409,3.1596,0.00158,Yes
ResNet1D vs Random Forest,NORM,0.934,0.9066,0.0273,3.4132,0.000642,Yes
ResNet1D vs Random Forest,MI,0.9142,0.83,0.0842,7.0297,0.0,Yes
ResNet1D vs Random Forest,STTC,0.9182,0.9107,0.0075,0.7747,0.438503,No
ResNet1D vs Random Forest,CD,0.9055,0.8416,0.0638,4.4527,8e-06,Yes
ResNet1D vs Random Forest,HYP,0.8469,0.8253,0.0216,1.1907,0.233753,No
